,0
0,0.028
1,0.027
2,0.02
3,0.029
4,0.019
5,0.032
6,0.024
7,0.034
8,0.026000000000000002
9,0.015
10,0.030000000000000002
11,0.031
12,0.016
13,0.027
14,0.017
15,0.04
16,0.02
17,0.024000000000000004
18,0.027
19,0.030000000000000002
20,0.027
21,0.029
22,0.02
23,0.038
24,0.019
25,0.017
26,0.027
27,0.023
28,0.019
29,0.022
30,0.03
31,0.036
32,0.026
33,0.017
34,0.019
35,0.037
36,0.032
37,0.024000000000000004
38,0.021
39,0.006
40,0.025
41,0.042
42,0.007
43,0.022
44,0.026
45,0.033
46,0.038
47,0.021
48,0.025
49,0.02
50,0.028
51,0.017
52,0.016
53,0.023
54,0.026
55,0.038
56,0.023000000000000003
57,0.027
58,0.02
59,0.028
60,0.021
61,0.021
62,0.028999999999999998
63,0.023
64,0.028
65,0.01
66,0.025000000000000005
67,0.008
68,0.036
69,0.017
70,0.026
71,0.023000000000000003
72,0.022
73,0.018
74,0.032
75,0.038
76,0.033
77,0.019
78,0.022
79,0.022
80,0.039
81,0.04
82,0.025000000000000005
83,0.015
84,0.044
85,0.018
86,0.035
87,0.029
88,0.017
89,0.026
90,0.014
91,0.035
92,0.026
93,0.011
94,0.024
95,0.022
96,0.02
97,0.014
98,0.017
99,0.029000000000000005
100,0.033
101,0.029
102,0.034
103,0.025
104,0.017
105,0.027
106,0.027
107,0.043000000000000003
108,0.01
109,0.024
110,0.032
111,0.025
112,0.025000000000000005
113,0.02
114,0.021
115,0.02
116,0.029
117,0.024
118,0.025
119,0.022
120,0.025
121,0.013
122,0.02
123,0.025
124,0.03
125,0.02
126,0.025
127,0.034
128,0.027
129,0.024
130,0.022
131,0.025
132,0.032
133,0.01
134,0.018
135,0.044
136,0.021
137,0.042
138,0.029999999999999995
139,0.017
140,0.034
141,0.022
142,0.035
143,0.022
144,0.014
145,0.044
146,0.027
147,0.017
148,0.021
149,0.019
150,0.018
151,0.025
152,0.023000000000000003
153,0.006
154,0.018
155,0.020999999999999998
156,0.024
157,0.023000000000000003
158,0.023
159,0.016
160,0.024000000000000004
161,0.023
162,0.03
163,0.024000000000000004
164,0.025000000000000005
165,0.021
166,0.016
167,0.025
168,0.021
169,0.02
170,0.029
171,0.013
172,0.019
173,0.011
174,0.024000000000000004
175,0.016
176,0.012000000000000002
177,0.034
178,0.018
179,0.013
