,0
0,7
1,47
2,3
3,18
4,18
5,25
6,30
7,1
8,1
9,43
10,2
11,5
12,12
13,4
14,20
15,5
16,24
17,6
18,4
19,22
20,6
21,8
22,5
23,32
24,4
25,4
26,20
27,1
28,6
29,58
30,32
31,7
32,3
33,4
34,9
35,4
36,3
37,3
38,50
39,8
40,11
41,1
42,6
43,21
44,22
45,6
46,2
47,5
48,1
49,42
50,1
51,11
52,32
53,32
54,2
55,51
56,10
57,3
58,3
59,1
60,6
61,19
62,4
63,1
64,32
65,1
66,21
67,14
68,40
69,21
70,57
71,63
72,51
73,14
74,6
75,25
76,26
77,1
78,2
79,6
80,10
81,12
82,1
83,2
84,14
85,10
86,1
87,7
88,7
89,31
90,4
91,34
92,6
93,5
94,34
95,5
96,13
97,16
98,36
99,6
100,47
101,2
102,9
103,2
104,2
105,38
106,2
107,1
108,1
109,5
110,6
111,10
112,12
113,2
114,9
115,18
116,3
117,14
118,8
119,5
120,2
121,27
122,13
123,1
124,3
125,9
126,1
127,5
128,12
129,25
130,40
131,1
132,4
133,11
134,5
135,1
136,8
137,44
138,1
139,13
140,9
141,45
142,1
143,5
144,8
145,4
146,2
147,1
148,3
149,14
150,42
151,2
152,5
153,3
154,4
155,2
156,15
157,1
158,13
159,2
160,32
161,6
162,27
163,2
164,2
165,6
166,11
167,31
168,12
169,32
170,2
171,1
172,20
173,7
174,11
175,9
176,2
177,4
178,40
179,2
180,48
181,7
182,32
183,16
184,10
185,4
186,2
187,30
188,33
189,1
190,5
191,1
192,2
193,1
194,55
195,1
196,1
197,11
198,13
199,47
200,7
201,3
202,28
203,21
204,2
205,5
206,3
207,17
208,14
209,8
210,7
211,58
212,40
213,11
214,1
215,2
216,13
217,1
218,2
219,17
220,4
221,8
222,26
223,9
224,34
225,6
226,21
227,24
228,6
229,19
230,61
231,8
232,9
233,39
234,17
235,11
236,4
237,1
238,3
239,16
240,14
241,7
242,1
243,22
244,6
245,1
246,1
247,64
248,10
249,2
250,5
251,2
252,27
253,1
254,1
255,4
256,7
257,31
258,7
259,4
260,2
261,11
262,2
263,1
264,2
265,3
266,2
267,1
268,4
269,17
270,30
271,25
272,1
273,6
274,22
275,16
276,3
277,20
278,41
279,15
280,3
281,5
282,28
283,2
284,9
285,5
286,20
287,39
288,58
289,8
290,2
291,17
292,16
293,32
294,14
295,14
296,1
297,33
298,4
299,7
300,3
301,26
302,11
303,51
304,19
305,25
306,10
307,14
308,4
309,13
310,6
311,13
312,40
313,9
314,6
315,37
316,22
317,2
318,11
319,32
320,2
321,11
322,5
323,26
324,63
325,20
326,12
327,38
328,10
329,4
330,42
331,3
332,16
333,29
334,30
335,9
336,10
337,3
338,3
339,2
340,5
341,3
342,1
343,2
344,63
345,12
346,13
347,59
348,3
349,57
350,4
351,2
352,1
353,13
354,4
355,16
356,4
357,4
358,8
359,12
360,16
361,25
362,7
363,7
364,8
365,1
366,2
367,43
368,3
369,3
370,47
371,4
372,2
373,6
374,4
375,5
376,26
377,5
378,9
379,3
380,18
381,10
382,10
383,3
384,27
385,20
386,16
387,6
388,9
389,4
390,56
391,18
392,1
393,3
394,2
395,32
396,20
397,63
398,62
399,12
400,46
401,17
402,1
403,44
404,7
405,48
406,2
407,52
408,16
409,1
410,18
411,53
412,1
413,8
414,7
415,15
416,1
417,4
418,31
419,12
420,32
421,5
422,4
423,16
424,11
425,5
426,1
427,10
428,9
429,1
430,11
431,10
432,4
433,53
434,6
435,21
436,7
437,19
438,1
439,28
440,1
441,3
442,7
443,6
444,24
445,21
446,1
447,10
448,3
449,8
450,8
451,57
452,11
453,8
454,55
455,4
456,8
457,5
458,37
459,30
460,5
461,8
462,25
463,34
464,12
465,45
466,11
467,18
468,10
469,10
470,43
471,46
472,5
473,4
474,25
475,3
476,4
477,9
478,13
479,4
480,2
481,42
482,5
483,49
484,4
485,3
486,4
487,38
488,1
489,20
490,9
491,24
492,1
493,21
494,2
495,39
496,7
497,3
498,15
499,5
500,2
501,6
502,12
503,5
504,34
505,3
506,28
507,6
508,48
509,3
510,2
511,1
512,8
513,1
514,1
515,14
516,6
517,29
518,8
519,15
520,13
521,57
522,9
523,8
524,8
525,5
526,6
527,21
528,3
529,6
530,11
531,21
532,30
533,3
534,38
535,7
536,4
537,6
538,7
539,11
540,2
541,44
542,16
543,14
544,14
545,2
546,3
547,2
548,4
549,2
550,29
551,45
552,1
553,5
554,1
555,1
556,12
557,13
558,15
559,15
560,7
561,3
562,4
563,2
564,33
565,4
566,2
567,9
568,5
569,6
570,4
571,1
572,21
573,4
574,3
575,1
576,2
577,25
578,11
579,48
580,4
581,6
582,21
583,5
584,8
585,1
586,5
587,2
588,11
589,2
590,7
591,35
592,53
593,1
594,2
595,5
596,6
597,3
598,13
599,8
600,9
601,1
602,29
603,15
604,8
605,49
606,6
607,34
608,11
609,41
610,2
611,3
612,1
613,31
614,20
615,16
616,3
617,15
618,60
619,22
620,4
621,9
622,5
623,16
624,29
625,4
626,6
627,4
628,9
629,2
630,48
631,17
632,13
633,5
634,24
635,5
636,15
637,7
638,20
639,4
640,2
641,12
642,5
643,11
644,15
645,28
646,46
647,18
648,10
649,3
650,5
651,7
652,21
653,3
654,13
655,6
656,10
657,6
658,10
659,30
660,2
661,10
662,4
663,10
664,18
665,1
666,2
667,1
668,21
669,1
670,52
671,1
672,3
673,3
674,4
675,1
676,14
677,7
678,10
679,5
680,2
681,20
682,4
683,8
684,58
685,21
686,12
687,11
688,1
689,25
690,37
691,7
692,58
693,8
694,4
695,4
696,25
697,16
698,2
699,7
700,2
701,6
702,8
703,1
704,22
705,5
706,9
707,2
708,9
709,1
710,17
711,5
712,10
713,14
714,9
715,1
716,9
717,52
718,28
719,10
720,19
721,22
722,64
723,6
724,14
725,10
726,3
727,6
728,17
729,22
730,9
731,29
732,47
733,33
734,10
735,2
736,12
737,53
738,14
739,7
740,40
741,2
742,49
743,36
744,8
745,7
746,7
747,6
748,42
749,3
750,4
751,8
752,11
753,1
754,46
755,50
756,9
757,23
758,33
759,2
760,25
761,4
762,15
763,10
764,4
765,22
766,2
767,2
768,7
769,6
770,1
771,2
772,22
773,6
774,3
775,5
776,7
777,38
778,1
779,58
780,1
781,5
782,21
783,55
784,2
785,1
786,19
787,4
788,3
789,2
790,2
791,42
792,3
793,63
794,44
795,27
796,17
797,3
798,2
799,41
800,8
801,30
802,2
803,15
804,3
805,38
806,3
807,1
808,4
809,4
810,4
811,1
812,42
813,7
814,35
815,3
816,4
817,3
818,1
819,5
820,28
821,4
822,6
823,2
824,4
825,8
826,1
827,23
828,10
829,11
830,2
831,4
832,2
833,9
834,39
835,4
836,24
837,2
838,27
839,27
840,4
841,2
842,6
843,46
844,2
845,2
846,22
847,3
848,31
849,8
850,2
851,16
852,9
853,6
854,12
855,22
856,7
857,35
858,2
859,3
860,4
861,5
862,54
863,5
864,19
865,6
866,3
867,11
868,10
869,12
870,2
871,22
872,1
873,24
874,10
875,5
876,1
877,28
878,18
879,16
880,23
881,1
882,1
883,12
884,7
885,6
886,25
887,13
888,21
889,4
890,8
891,37
892,26
893,15
894,9
895,2
896,17
897,28
898,36
899,4
900,36
901,6
902,7
903,1
904,6
905,9
906,1
907,10
908,10
909,1
910,39
911,1
912,7
913,31
914,1
915,28
916,8
917,2
918,5
919,7
920,10
921,43
922,5
923,2
924,57
925,12
926,5
927,2
928,14
929,17
930,45
931,1
932,4
933,16
934,8
935,1
936,2
937,27
938,3
939,11
940,3
941,4
942,5
943,5
944,3
945,10
946,34
947,2
948,5
949,6
950,8
951,2
952,3
953,5
954,33
955,7
956,8
957,52
958,37
959,38
960,17
961,3
962,5
963,1
964,7
965,18
966,10
967,1
968,1
969,16
970,42
971,19
972,1
973,3
974,3
975,16
976,1
977,10
978,3
979,2
980,2
981,1
982,5
983,20
984,7
985,19
986,6
987,10
988,7
989,1
990,6
991,4
992,44
993,4
994,2
995,22
996,5
997,41
998,23
999,6
1000,1
1001,45
1002,2
1003,2
1004,4
1005,1
1006,1
1007,32
1008,6
1009,42
1010,17
1011,7
1012,9
1013,25
1014,15
1015,3
1016,22
1017,34
1018,1
1019,2
1020,9
1021,7
1022,4
1023,50
1024,16
1025,4
1026,5
1027,13
1028,1
1029,1
1030,23
1031,5
1032,10
1033,4
1034,54
1035,40
1036,11
1037,11
1038,43
1039,35
1040,4
1041,11
1042,4
1043,4
1044,3
1045,2
1046,3
1047,12
1048,5
1049,15
1050,5
1051,5
1052,53
1053,4
1054,10
1055,31
1056,43
1057,9
1058,12
1059,3
1060,5
1061,14
1062,2
1063,56
1064,2
1065,2
1066,8
1067,4
1068,1
1069,3
1070,8
1071,23
1072,14
1073,5
1074,15
1075,35
1076,38
1077,3
1078,16
1079,11
1080,4
1081,37
1082,1
1083,8
1084,32
1085,14
1086,29
1087,11
1088,7
1089,35
1090,17
1091,3
1092,6
1093,28
1094,41
1095,2
1096,4
1097,1
1098,57
1099,2
1100,27
1101,5
1102,8
1103,27
1104,5
1105,31
1106,2
1107,5
1108,1
1109,7
1110,2
1111,3
1112,39
1113,17
1114,2
1115,8
1116,14
1117,4
1118,3
1119,2
1120,42
1121,21
1122,3
1123,42
1124,13
1125,24
1126,46
1127,8
1128,8
1129,51
1130,9
1131,1
1132,7
1133,4
1134,4
1135,3
1136,8
1137,15
1138,11
1139,25
1140,12
1141,45
1142,3
1143,32
1144,20
1145,3
1146,54
1147,4
1148,7
1149,55
1150,14
1151,9
1152,24
1153,1
1154,2
1155,7
1156,7
1157,5
1158,13
1159,62
1160,26
1161,4
1162,2
1163,1
1164,6
1165,3
1166,3
1167,9
1168,6
1169,4
1170,14
1171,2
1172,39
1173,2
1174,7
1175,3
1176,1
1177,29
1178,12
1179,14
1180,3
1181,2
1182,13
1183,4
1184,22
1185,1
1186,3
1187,2
1188,2
1189,6
1190,1
1191,1
1192,1
1193,2
1194,18
1195,1
1196,33
1197,38
1198,1
1199,9
1200,43
1201,2
1202,11
1203,27
1204,4
1205,22
1206,5
1207,18
1208,1
1209,6
1210,19
1211,19
1212,2
1213,10
1214,2
1215,1
1216,5
1217,28
1218,26
1219,1
1220,58
1221,5
1222,2
1223,2
1224,4
1225,55
1226,12
1227,10
1228,8
1229,3
1230,1
1231,6
1232,8
1233,58
1234,14
1235,6
1236,52
1237,4
1238,3
1239,41
1240,11
1241,3
1242,3
1243,36
1244,1
1245,36
1246,63
1247,32
1248,2
1249,5
1250,5
1251,25
1252,25
1253,14
1254,5
1255,1
1256,11
1257,7
1258,4
1259,16
1260,10
1261,17
1262,1
1263,3
1264,6
1265,2
1266,42
1267,28
1268,20
1269,3
1270,3
1271,27
1272,14
1273,1
1274,19
1275,11
1276,1
1277,4
1278,2
1279,4
1280,1
1281,14
1282,22
1283,1
1284,13
1285,8
1286,3
1287,38
1288,13
1289,6
1290,6
1291,9
1292,1
1293,30
1294,2
1295,7
1296,11
1297,15
1298,6
1299,12
1300,1
1301,5
1302,6
1303,20
1304,3
1305,12
1306,6
1307,3
1308,10
1309,24
1310,4
1311,1
1312,14
1313,27
1314,4
1315,8
1316,8
1317,1
1318,4
1319,2
1320,18
1321,2
1322,7
1323,5
1324,12
1325,56
1326,20
1327,4
1328,6
1329,34
1330,1
1331,2
1332,15
1333,16
1334,4
1335,18
1336,1
1337,3
1338,3
1339,7
1340,1
1341,30
1342,3
1343,5
1344,5
1345,10
1346,16
1347,7
1348,1
1349,4
1350,10
1351,61
1352,47
1353,31
1354,14
1355,5
1356,6
1357,6
1358,23
1359,36
1360,63
1361,2
1362,34
1363,26
1364,3
1365,3
1366,8
1367,24
1368,11
1369,2
1370,7
1371,1
1372,23
1373,6
1374,1
1375,3
1376,26
1377,7
1378,56
1379,10
1380,10
1381,12
1382,14
1383,10
1384,10
1385,55
1386,16
1387,49
1388,3
1389,7
1390,2
1391,26
1392,2
1393,7
1394,53
1395,16
1396,3
1397,29
1398,12
1399,1
1400,3
1401,40
1402,3
1403,29
1404,1
1405,6
1406,2
1407,32
1408,29
1409,31
1410,38
1411,1
1412,14
1413,12
1414,13
1415,9
1416,4
1417,2
1418,1
1419,2
1420,49
1421,11
1422,6
1423,58
1424,59
1425,58
1426,8
1427,1
1428,5
1429,1
1430,1
1431,4
1432,11
1433,8
1434,4
1435,11
1436,34
1437,7
1438,12
1439,8
1440,3
1441,7
1442,23
1443,3
1444,6
1445,19
1446,43
1447,4
1448,4
1449,3
1450,2
1451,1
1452,4
1453,53
1454,3
1455,30
1456,1
1457,1
1458,9
1459,10
1460,3
1461,6
1462,13
1463,51
1464,4
1465,27
1466,11
1467,21
1468,14
1469,14
1470,7
1471,9
1472,5
1473,2
1474,13
1475,1
1476,2
1477,8
1478,4
1479,58
1480,2
1481,2
1482,61
1483,3
1484,18
1485,8
1486,7
1487,2
1488,3
1489,1
1490,32
1491,3
1492,24
1493,3
1494,32
1495,2
1496,14
1497,1
1498,5
1499,1
1500,34
1501,28
1502,17
1503,1
1504,3
1505,14
1506,13
1507,2
1508,43
1509,5
1510,26
1511,58
1512,16
1513,45
1514,8
1515,7
1516,34
1517,20
1518,9
1519,13
1520,13
1521,2
1522,2
1523,15
1524,2
1525,26
1526,1
1527,7
1528,14
1529,47
1530,2
1531,43
1532,15
1533,3
1534,31
1535,3
1536,4
1537,6
1538,9
1539,33
1540,1
1541,20
1542,4
1543,6
1544,31
1545,6
1546,55
1547,3
1548,2
1549,1
1550,13
1551,51
1552,10
1553,15
1554,22
1555,39
1556,34
1557,27
1558,13
1559,20
1560,2
1561,12
1562,1
1563,5
1564,3
1565,19
1566,2
1567,7
